Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
Gunmen Kill Nigerian-American Returnee,1/12/2017,Mbieri,Mbaitoli,Imo,1,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/2017/01/16/gunmen-kill-nigerian-american-returnee-abduct-malaysia-based-nigerian,http://punchng.com/gunmen-kill-american-returnee-abduct-malaysian-based-man/,,5.586269855,7.042709827,"Mbaitoli, Imo, Nigeria",Nigeria
Gunmen Abduct Malaysia-Based Nigerian,1/14/2017,Akokwa,Ideato North,Imo,0,,,,Other Armed Actor,,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/2017/01/16/gunmen-kill-nigerian-american-returnee-abduct-malaysia-based-nigerian,http://punchng.com/gunmen-kill-american-returnee-abduct-malaysian-based-man/,,5.853240013,7.099150181,"Ideato North, Imo, Nigeria",Nigeria
Gunmen kill 10 C-JTF members in Benue,1/15/2017,Abaji,Katsina-Ala,Benue,10,,,,Other Armed Actor,,,,,,,,,,,,,,,10,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/gunmen-kill-10-benue/,http://www.vanguardngr.com/2017/01/gunmen-kill-10-c-jtf-members-benue/,,7.233510017,9.636750221,"Katsina-Ala, Benue, Nigeria",Nigeria
"Police foil kidnap of Ondo monarch’s wife, kills one",1/15/2017,Ikoya,Okitipupa,Ondo,1,,State Actor,,,Kidnapper,,,,,,,,,,1,,,,,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/police-foil-kidnap-ondo-monarchs-wife-kills-one/,http://www.vanguardngr.com/2017/01/kidnapper-killed-failed-abduction-ondo-monarchs-wife/,,6.500559807,4.776760101,"Okitipupa, Ondo, Nigeria",Nigeria
"One shot in fresh Ogbe-Ijoh, Aladja gun battle",1/15/2017,,Warri South West,Delta,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/one-shot-fresh-ogbe-ijoh-aladja-gun-battle/,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria
"Police, NSCDC officers, 7 others killed in Niger community",1/15/2017,,Bosso,Niger,9,,,Sectarian Actor,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,,,,Other,,http://www.authorityngr.com/2017/01/Herdsmen-s-Attack--Police-NSCDC-officers-7-others-killed-in-Niger-community/,,,9.656339645,6.531219959,"Bosso, Niger, Nigeria",Nigeria
Boko Haram Bomb Mosque At The University Of Maiduguri,1/16/2017,,Maiduguri,Borno,5,Boko Haram,State Actor,,,,,,,,2,,,,,,,,,3,,,,Gun,,Suicide Bombing,,,,,,Mosque,,School,,,http://saharareporters.com/2017/01/16/university-professor-killed-suicide-bombers-university-maiduguri,http://af.reuters.com/article/nigeriaNews/idAFL5N1F61N0?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/headlines/220620-professor-3-others-confirmed-dead-maiduguri-explosion.html,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
"Police confirm kidnap of finance director, 3 others in Sokoto",1/16/2017,,Isa,Sokoto,0,,,,,Kidnapper,,,,,,,,,,,4,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nwest/220835-police-confirm-kidnap-finance-director-3-others-sokoto.html,http://www.vanguardngr.com/2017/01/director-finance-3-others-kidnapped-sokoto/,,13.20189953,6.404150009,"Isa, Sokoto, Nigeria",Nigeria
4 bandits die in gun battle with police,1/16/2017,,Jere,Kaduna,3,,State Actor,,,,Robber,,,,,,,,,,,4,,,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2017/01/17/kaduna-police-command-kills-3-armed-bandits-arrests-14/,http://www.dailytrust.com.ng/news/general/4-bandits-die-in-gun-battle-with-police/181314.html,,9.564470291,7.433269978,"Jere, Kaduna, Nigeria",Nigeria
10 dead as C-River communities go to war over human head for chief’s burial,1/15/2017,,Obubra,Cross River,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/10-dead-c-river-communities-go-war-human-head-chiefs-burial/,,,5.968050003,8.363249779,"Obubra, Cross River, Nigeria",Nigeria
"Nigeria Airforce Bombs Refugee Camp, Kills At Least 200",1/17/2017,Rann,Kala/Balge,Borno,236,,State Actor,,,,,,,,,,,,,,,,,200,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N1FA256?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2017/01/17/nigeria-airforce-bombs-refugee-camp-kills-least-200,https://www.thestar.com/news/world/2017/01/23/236-dead-at-nigeria-refugee-camp-mistakenly-bombed-by-air-force-officials-say.html,11.91709042,14.63665962,"Kala/Balge, Borno, Nigeria",Nigeria
Nigerian soldiers kill 13 Boko Haram members in Borno,1/13/2017,Bomboshe and Sinbaya,Dikwa,Borno,13,,State Actor,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/220527-nigerian-soldiers-kill-13-boko-haram-members-borno-spokesperson.html,http://punchng.com/army-kills-13-boko-haram-suspects-clearance-operations/,http://sunnewsonline.com/soldiers-kill-13-terrorists-rescue-58-hostages-in-borno/,12.04399967,13.92140007,"Dikwa, Borno, Nigeria",Nigeria
"Jigawa village head, brother kidnapped",1/17/2017,,Gwaram,Jigawa,0,,,,,Kidnapper,,,,,,,,,,,2,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nwest/220784-jigawa-village-head-brother-kidnapped.html,,,11.27696037,9.881270409,"Gwaram, Jigawa, Nigeria",Nigeria
3 feared dead in fresh Southern Kaduna violence,1/17/2017,Samarun Kataf,Zangon Kataf,Kaduna,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/220829-3-feared-dead-fresh-southern-kaduna-violence.html,http://saharareporters.com/2017/01/18/southern-kaduna-boils-again-3-killed,http://punchng.com/three-killed-many-injured-in-fresh-attack-on-southern-kaduna/,9.782380104,8.298419952,"Zangon Kataf, Kaduna, Nigeria",Nigeria
"5 dead as perennial A-Ibom, C-River community war escalates",1/17/2017,,Itu,Akwa Ibom,5,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/south-south-regional/220836-4-feared-dead-akwa-ibom-cross-river-communities-clash.html,http://www.vanguardngr.com/2017/01/5-dead-perennial-ibom-c-river-community-war-escalates/,,5.052249908,7.904389858,"Itu, Akwa Ibom, Nigeria",Nigeria
"4 injured as herdsmen, farmers clash in Anambra",1/17/2017,Okoti-Odekpe,Ogbaru,Anambra,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/4-injured-herdsmen-farmers-clash-anambra/,,,6.12293005,6.763179779,"Ogbaru, Anambra, Nigeria",Nigeria
NPDC crude oil pipeline set ablaze in Delta,1/18/2017,,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/npdc-crude-oil-pipeline-set-ablaze-delta-2/,http://punchng.com/breaking-militants-blow-pipeline-osinbajos-visit/,,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria
"24 injured, as Kano traffic officials clash with NURTW",1/18/2017,,Kano Municipal,Kano,0,,State Actor,,,,,Other,,,,,,,,,,,,0,,,,,,,Other,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/24-injured-kano-traffic-officials-clash-nurtw/,,,11.95549011,8.497540474,"Kano Municipal, Kano, Nigeria",Nigeria
Gunmen invade popular entertainment joint in Onitsha,1/19/2017,,Onitsha South,Anambra,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,,Gun,,,,,Drinking Establishment,,,,,,,,http://sunnewsonline.com/gunmen-invade-popular-entertainment-joint-in-onitsha/,,,6.138420105,6.773139954,"Onitsha South, Anambra, Nigeria",Nigeria
11 IPOB supporters reportedly killed during pro-Trump rally,1/20/2017,,Port Harcourt,Rivers,11,,State Actor,,,,,,,,,,,,,,,,,11,,,,Gun,,,,,,,,,,,Other,,http://pulse.ng/local/in-port-harcourt-11-ipob-supporters-reportedly-killed-during-pro-trump-rally-id6086864.html,http://www.vanguardngr.com/2017/01/ipob-trump-solidarity-rally-ipob-condenms-killing-of-members/,http://dailypost.ng/2017/01/20/breaking-ipob-trump-solidarity-rally-turns-violent-11-feared-dead-photo/,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria",Nigeria
Nigerian troops kill 15 Boko Haram fighters in anti-terror operation,1/19/2017,Rann,Kala/Balge,Borno,15,Boko Haram,State Actor,,,,,,,,15,,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/2017-01/21/c_136002456.htm,http://punchng.com/bharam-eight-killed-foiled-attack-rann-idps-camp/,,11.91709042,14.63665962,"Kala/Balge, Borno, Nigeria",Nigeria
"One person feared dead, others seriously injured as Delta community comes under attack",1/20/2017,Aladja,Udu,Delta,1,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2017/01/20/one-person-feared-dead-others-seriously-injured-delta-community-comes-attack/,,,5.482019901,5.866909981,"Udu, Delta, Nigeria",Nigeria
"Police kill one, arrest three kidnappers of Malaysia-based man",1/20/2017,,Ideato North,Imo,1,,State Actor,,,Kidnapper,,,,,,,,,,1,,,,,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/police-kill-one-arrest-three-kidnappers-malaysia-based-man/,,,5.853240013,7.099150181,"Ideato North, Imo, Nigeria",Nigeria
Gunmen on tricycle ‘abduct Borno council chairman,1/20/2017,,Maiduguri,Borno,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nnorth-east/221123-gunmen-tricycle-abduct-borno-council-chairman.html,http://news2.onlinenigeria.com/news/general/588478-breaking-borno-council-boss-allegedly-kidnapped-in-maiduguri.html,,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
"Benue community boils as hunter kills pastor, injures three others",1/20/2017,,Okpokwu,Benue,1,,,,Other Armed Actor,,,,,,,,1,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2017/01/21/benue-community-boils-hunter-kills-pastor-injures-three-others/,,,7.0385499,7.811979771,"Okpokwu, Benue, Nigeria",Nigeria
"Boko Haram attacks Borno again, scores feared killed",1/28/2017,Bullabulin village,Konduga,Borno,7,Boko Haram,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,http://www.presstv.ir/Detail/2017/01/29/508288/Boko-Haram-Nigeria,http://www.iran-daily.com/News/176663.html,,11.58605,13.00278,"Konduga, Borno, Nigeria",Nigeria
"Police confirm one killed, 11 houses burnt in Taraba communal clash",1/27/2017,Garin Dogo,Lau,Taraba,7,,,Sectarian Actor,,,,,,,,,,,,,,,,7,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nnorth-east/221921-police-confirm-one-killed-11-houses-burnt-taraba-communal-clash.html,,,9.18704,11.42011,"Lau, Taraba, Nigeria",Nigeria
Kidnappers demand N10m ransom for Catholic priest,1/27/2017,Eku,Ethiope East,Delta,,,,,,Kidnapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://independentnig.com/kidnappers-demand-n10m-ransom-for-catholic-priest/,,,5.68799,5.98414,"Ethiope East, Delta, Nigeria",Nigeria
Boko Haram kills two soldiers in Niger,1/20/2017,Geskerou,,,2,Boko Haram,State Actor,,,,,,,,2,,,,,,,,,,,,,Gun,,,,,,,,,,,,,http://punchng.com/boko-haram-kills-two-soldiers-niger/,http://independentnig.com/two-niger-soldiers-killed-in-boko-haram-attack/,,13.31536,12.61135,"Geskerou, Daffa, Niger",Niger
"LG Chairman Kidnapped by Unknown Police Officers In Borno

",1/20/2015,,Maiduguri,Borno,,,,,,Kidnapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://news2.onlinenigeria.com/news/crime/588602-lg-chairman-kidnapped-by-unknown-police-officers-in-borno.html,,,11.83537,13.15166,"Maiduguri, Borno, Nigeria",Nigeria
"Nigeria group: 20 die, many missing after pro-Trump rally",1/20/2017,,,Rivers,,,State Actor,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11786658&ref=rss,http://nation.com.pk/international/22-Jan-2017/pro-donald-trump-rally-in-nigeria-leaves-20-dead-many-missing-reports,,,,", Rivers, Nigeria",Nigeria
Police shoot two UniOsun students,1/20/2017,Osogbo,Osogbo,Osun,2,,State Actor,,,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,,,http://sunnewsonline.com/police-shoot-two-uniosun-students/,,,7.75963,4.57625,"Osogbo, Osun, Nigeria",Nigeria
3 killed in Ebonyi/Cross River boundary clash,1,Azuofia Edda,Abakaliki,Ebonyi,3,,,Sectarian Actor,,,,,,,,,,,,,,,,2,,,,Gun,Machete,,,,,,,,,,,,http://sunnewsonline.com/3-killed-in-ebonyicross-river-boundary-clash/,,,6.25646,8.21133,"Abakaliki, Ebonyi, Nigeria",Nigeria
"Suspected attackers from Kaduna kill herdsman in Plateau
",1/21/2017,Ganawuri,Riyom,Plateau,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailytrust.com.ng/news/general/suspected-attackers-from-kaduna-kill-herdsman-in-plateau-macban/181946.html,,,9.56796,8.68476,"Riyom, Plateau, Nigeria",Nigeria
"13-year-old killed, as unknown gunmen attack village in Kaduna
",1/21/2017,Zankan,Kaura,Kaduna,1,,,Sectarian Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailytrust.com.ng/news/general/13-year-old-killed-as-unknown-gunmen-attack-village-in-kaduna/181976.html,http://punchng.com/police-confirm-fresh-attack-kaduna-community/,,9.61232,8.46992,"Kaura, Kaduna, Nigeria",Nigeria
"Gunmen attack police station, kill officer, cart away arms",1/22/2017,Dengi,Kanam,Plateau,,,,,Other Armed Actor,,,,,,,,,,,,,,,,,,,,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/north-central/221304-gunmen-attack-police-station-kill-officer-cart-away-arms.html,http://www.thisdaylive.com/index.php/2017/01/24/gunmen-on-rampage-in-plateau-kill-police-officer-seize-rifles/,,9.54882,10.09733,"Kanam, Plateau, Nigeria",Nigeria
"Suspected Fulani herdsmen abduct ex-council chair, two others",1/22/2017,,,Federal Capital Territory,,,,,,Kidnapper,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,http://guardian.ng/news/suspected-fulani-herdsmen-abduct-ex-council-chair-two-others/,,,8.99997,7.37831,", Federal Capital Territory, Nigeria",Nigeria
"50 houses burnt down in communal clash in Taraba
",1/22/2017,,Sardauna,Taraba,,,,Sectarian Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailytrust.com.ng/news/general/50-houses-burnt-down-in-communal-clash-in-taraba/182229.html,,,6.87463,11.21184,"Sardauna, Taraba, Nigeria",Nigeria
Many Feared Dead In Fresh Herdsmen Attack On Benue Village,1/22/2017,Ipiga,Ohimini,Benue,15,,,Sectarian Actor,,,,,,,,,15,,,,,,,,,,,Gun,,,,,,,,,,,,,http://leadership.ng/news/568311/many-feared-dead-in-fresh-herdsmen-attack-on-benue-village,http://www.vanguardngr.com/2017/01/15-die-farmers-clash-herdsmen-benue/,,7.20744,7.94989,"Ohimini, Benue, Nigeria",Nigeria
"5 College of Education students killed in Southern Kaduna

",1/22/2017,"Gidan Waya

",Jema'a,Kaduna,5,,,Sectarian Actor,,,,,,,,,5,,,,,,,,,,,Gun,,,,,,,,,,,,,http://www.vanguardngr.com/2017/01/5-college-education-students-killed-southern-kaduna/,,,9.38269,8.26813,"Jema'a, Kaduna, Nigeria",Nigeria
"Military task force kills 2 suspected militants in Bayelsa

",1/23/2017,Obama,,Bayelsa,2,,State Actor,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,http://www.vanguardngr.com/2017/01/military-task-force-kills-2-suspected-militants-bayelsa/,,,,,", Bayelsa, Nigeria",Nigeria
"Boko Haram kills 3, ‘abducts women’ in Borno village",1/23/2017,Ndagu,Askira/Uba,Borno,8,Boko Haram,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,http://sunnewsonline.com/boko-haram-kills-3-abducts-women-in-borno-village/,http://www.dailytrust.com.ng/news/general/b-haram-kills-5-in-borno-village/182446.html,http://punchng.com/bharam-attacks-borno-village-kills-eight/,10.63582,12.8782,"Askira/Uba, Borno, Nigeria",Nigeria
JFT kills suicide bomber,1/25/2017,,Maiduguri,Borno,1,Boko Haram,State Actor,,,,,,,,1,,,,,,,,,,,,,,,Suicide Bombing,,,,Government Building,,,,,,,http://sunnewsonline.com/3-killed-as-female-bombers-attack-maiduguri/,,,11.83537,13.15166,"Maiduguri, Borno, Nigeria",Nigeria
2 Female Suicide Bombers Killed,1/25/2017,,Mafa,Borno,3,Boko Haram,State Actor,,,,,,,,2,1,,,,,,,,,,,,,,Suicide Bombing,,,,,,Mosque,,,,,http://sunnewsonline.com/3-killed-as-female-bombers-attack-maiduguri/,http://news2.onlinenigeria.com/news/general/590212-breaking-3-feared-dead-as-female-bombers-attack-maiduguri-photos.html,,12.00204,13.53703,"Mafa, Borno, Nigeria",Nigeria
"Herdsmen engage Delta Police team in gun battle

",1/22/2017,,Ughelli North,Delta,,,State Actor,Sectarian Actor,,,,,,,,,,,,,,,,,,,,Gun,,,,,,,,,,,,,http://news2.onlinenigeria.com/news/general/590238-herdsmen-engage-delta-police-team-in-gun-battle.html,,,5.51122,6.04821,"Ughelli North, Delta, Nigeria",Nigeria
Heavy gunfire in Yobe as Army foils Boko Haram’s attempt to capture military base,1/25/2017,Kamuya,Biu,Yobe,13,Boko Haram,State Actor,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,http://www.premiumtimesng.com/news/headlines/221659-heavy-gunfire-yobe-army-foils-boko-harams-attempt-capture-military-base.html,http://news2.onlinenigeria.com/news/general/591371-3-soldiers-dead-as-troops-foil-boko-haram-attack-on-military-base.html,,10.81742,12.08845,"Biu, Yobe, Nigeria",Nigeria
"Akwa Ibom Village Head assassinated

",1/24/2017,"Ikot Anta Eneng Obom

",Ukanafun,Akwa Ibom,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,http://www.vanguardngr.com/2017/01/akwa-ibom-village-head-assassinated/,,,4.89651,7.59687,"Ukanafun, Akwa Ibom, Nigeria",Nigeria
"Many feared dead as C-River, Benue communities clash over farmland
",1/21/2017,,Kwande,Benue,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,http://www.vanguardngr.com/2017/01/many-feared-dead-c-river-benue-communities-clash-farmland/,,,6.88789,9.23547,"Kwande, Benue, Nigeria",Nigeria
One confirmed dead as gunmen storm Zamfara community,1/26/2017,Magazu ,,Zamfara,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,http://www.premiumtimesng.com/news/headlines/221770-one-confirmed-dead-gunmen-storm-zamfara-community.html,,,11.9116,6.95385,", Zamfara, Nigeria",Nigeria
"20 feared dead as Boko Haram opens fire on motorists in Maiduguri
",1/28/2017,,Damboa,Borno,20,Boko Haram,State Actor,,,,,,,,,,,,,,,,,20,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/221884-boko-haram-kill-7-travellers-injure-escort-soldiers-along-maiduguri-biu-road.html,http://www.vanguardngr.com/2017/01/20-feared-dead-as-boko-haram-opens-fire-on-motorists-in-maiduguri/,,11.14820004,12.7560997,"Damboa, Borno, Nigeria",Nigeria
"8 killed, 11 houses burnt in Taraba communal clash",1/28/2017,,Lau,Taraba,8,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nnorth-east/221921-police-confirm-one-killed-11-houses-burnt-taraba-communal-clash.html,http://www.premiumtimesng.com/news/headlines/222147-fresh-violence-erupts-taraba-10-killed-2.html,,9.208510399,11.27530956,"Lau, Taraba, Nigeria",Nigeria
"Gunmen kidnap Catholic priest in Delta, demand N10m as ransom",1/27/2017,,Sapele,Delta,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://dailypost.ng/2017/01/29/gunmen-kidnap-catholic-priest-delta-demand-n10m-ransom/,http://news2.onlinenigeria.com/news/general/592304-just-in-armed-gunmen-kidnap-catholic-priest-in-delta-want-n10m.html,https://dailytimes.ng/news/unknown-gunmen-kidnap-catholic-priest-demand-n10m/,5.887760162,5.67689991,"Sapele, Delta, Nigeria",Nigeria
"Police foil robbery attempt, kill one in Kano",1/29/2017,Yandutse,Bichi,Kano,1,,State Actor,,,,Robber,,,,,,,,,,,1,,,,,,Gun,,,,,,,,,,,Other,,http://www.authorityngr.com/2017/02/Police-foil-robbery-attempt-kill-one-in-Kano/,http://www.dailytrust.com.ng/news/general/police-shot-dead-suspected-robber-arrest-another-in-kano-state/183448.html,,12.23513985,8.237509727,"Bichi, Kano, Nigeria",Nigeria
"Abia gov’s aide abducted, killed in Imo",1/29/2017,,Owerri Municipal,Abia,1,,,,Other Armed Actor,,,,,,,,,,1,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.dailytrust.com.ng/news/general/abia-gov-s-aide-abducted-killed-in-imo/183269.html,,,5.456715584,7.524532795,"Owerri Municipal, Abia, Nigeria",Nigeria
Gunmen abduct female lecturer in Rivers,1/29/2017,Bori,Khana,Rivers,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/gunmen-abduct-female-lecturer-rivers/,http://www.authorityngr.com/2017/01/Gunmen-kidnap-female-lecturer-in-Rivers/,,4.684460163,7.424379826,"Khana, Rivers, Nigeria",Nigeria
Varsity lecturer kidnapped in Akwa Ibom,1/30/2017,Ikot Ekpaw,Mkpat-Enin,Akwa Ibom,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,http://www.authorityngr.com/2017/01/Varsity-lecturer-kidnapped-in-Akwa-Ibom/,,,4.737309933,7.752520084,"Mkpat-Enin, Akwa Ibom, Nigeria",Nigeria
Suspected robbers attack bank in Port Harcourt,1/30/2017,,Port Harcourt,Rivers,0,,,,,,Robber,,,,,,,,,,,,,0,,,,,,,,,,,,,Bank,,,,http://www.vanguardngr.com/2017/01/suspected-robbers-attack-gtb-port-harcourt/,,,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria",Nigeria
Two dead as suicide bomber attacks mosque,1/31/2017,Dalori,Maiduguri,Borno,2,Boko Haram,,,,,,,,,1,,,,,,,,,1,,,,,,Suicide Bombing,,,,,,Mosque,,,,,http://www.premiumtimesng.com/news/headlines/222102-two-dead-suicide-bomber-attacks-mosque.html,http://punchng.com/two-die-foiled-bomb-attack-maiduguri-mosque/,http://www.vanguardngr.com/2017/01/girl-bomber-dies-mosque-targeted-maiduguri/,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria",Nigeria
"Fresh violence erupts in Taraba, 10 killed",1/31/2017,Bonja and Mayo-Kunga,Lau,Taraba,10,,,Sectarian Actor,,,,,,,,,10,,,,,,,,,,,,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/222147-fresh-violence-erupts-taraba-10-killed-2.html,http://www.vanguardngr.com/2017/02/10-die-80-houses-torched-fresh-taraba-violence/,http://dailypost.ng/2017/02/01/communal-clash-claims-ten-lives-taraba/,9.208510399,11.27530956,"Lau, Taraba, Nigeria",Nigeria
"3 die in Adamawa herdsmen, farmers’ clash",1/31/2017,Girei,,Adamawa,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/02/3-die-adamawa-herdsmen-farmers-clash/,,,10.17329979,12.73544025,"Girei, Adamawa, Nigeria",Nigeria
"Gunmen attack UN team in Nigeria, kill 5",1/31/2017,,,,5,,,,Other Armed Actor,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/222312-gunmen-attack-un-team-nigeria-kill-5.html,http://af.reuters.com/article/nigeriaNews/idAFL5N1FM5AC?feedType=RSS&feedName=nigeriaNews,,7.969575882,12.23573971,"Kontcha, Cameroon",Cameroon
"Army loses three soldiers, but kills six insurgents",2/1/2017,,Damboa,Borno,9,Boko Haram,State Actor,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/222317-3-nigerian-soldiers-several-terrorists-killed-troops-battle-boko-haram.html,http://www.vanguardngr.com/2017/02/army-loses-three-soldiers-kills-six-insurgents/,,11.14820004,12.7560997,"Damboa, Borno, Nigeria",Nigeria
"Chaos breaks out in Plateau, six killed as illegal miners clash",2/1/2017,Gero,Jos South,Plateau,10,,,,Other Armed Actor,,,,,,,,,10,,,,,,,,,,,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/regional/north-central/222854-10-killed-illegal-miners-clash-plateau.html,http://news2.onlinenigeria.com/news/general/595006-chaos-breaks-out-in-plateau-six-killed-as-illegal-miners-clash.html,http://www.dailytrust.com.ng/news/general/6-dead-as-illegal-miners-clash-in-plateau/183612.html,9.744850159,8.838470459,"Jos South, Plateau, Nigeria",Nigeria
"Boko Haram ambush kills one policeman, injures another in Borno",1/31/2017,Kubuwa,Damboa,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/boko-haram-ambush-kills-one-policeman-injures-another-borno/,https://dailytimes.ng/news/boko-haram-ambushes-convoy-kill-cop-borno/,http://saharareporters.com/2017/02/01/police-officer-killed-boko-haram-ambush-borno-state,11.14820004,12.7560997,"Damboa, Borno, Nigeria",Nigeria
"Again, herdsmen attack farmer in Enugu, Police confirms",2/2/2017,Awha Ndiagu,Ezeagu,Enugu,0,,,Sectarian Actor,,,,,,,,,0,,,,,,,,,,,,Machete,,,,,,,,,,Other,,http://news2.onlinenigeria.com/news/general/596299-again-herdsmen-attack-farmer-in-enugu-police-confirms.html,,,6.440609932,7.297639847,"Ezeagu, Enugu, Nigeria",Nigeria
Man killed in renewed attack at Plateau mining site,2/4/2017,Gero,Jos South,Plateau,1,,,,,,Robber,,,,,,,,,,,,,1,,,,,,,Other,,,,,,,,Other,,http://www.premiumtimesng.com/regional/north-central/222706-man-killed-renewed-attack-plateau-mining-site.html,,,9.744850159,8.838470459,"Jos South, Plateau, Nigeria",Nigeria
